iteration,sample,radius,GaNzSpan,SapSpan,theta,power_output,status
1,1,1.6108466288841758e-06,1.3345141671678668e-06,2.8526729029651847e-06,37.85898451911692,3.657683247494411e-12,success
1,2,1.4722325708695615e-06,1.6374861335752264e-06,3.122412313525961e-06,43.95602601284473,2.236634366618367e-12,success
1,3,1.6658254376181234e-06,1.3991908347904917e-06,2.866384129476618e-06,43.70691344256102,5.308514351139597e-13,success
1,4,1.70120302361979e-06,1.7064583047565284e-06,2.8389118358024954e-06,38.41362496531778,1.010067122961321e-12,success
1,5,1.5277039208606401e-06,1.5522644001974514e-06,3.259364042137347e-06,47.827206669216174,7.474048342669034e-13,success
1,6,1.612039495364577e-06,1.623943142036491e-06,3.209639161663169e-06,41.079146054195405,1.1882508676797583e-12,success
1,7,1.5559622363571625e-06,1.5940069060910588e-06,3.1690416551903517e-06,48.722261094614524,6.164100012319032e-13,success
1,8,1.5898798611427531e-06,1.686270202311708e-06,2.881347389566744e-06,49.73435504271322,2.0479259837363984e-13,success
1,9,1.5977898255041816e-06,1.1656081583463309e-06,2.7277165081180378e-06,41.75853305909099,1.7025148398731493e-13,success
1,10,1.5704161067184315e-06,1.7575229045194417e-06,3.451819614091399e-06,46.19413688744285,1.1121136686544993e-12,success
2,1,1.5304598639444866e-06,1.7673906664352551e-06,3.008044986522139e-06,42.18148584978387,6.390915177396559e-13,success
2,2,1.5696304015767642e-06,1.5868378430107469e-06,3.0548729332635434e-06,46.40042906284325,6.511758600044302e-13,success
2,3,1.407815117539623e-06,1.3625481741339173e-06,2.4366453026998198e-06,43.86125375241106,1.9314917633769703e-13,success
2,4,1.5162195034742708e-06,1.5339612787241937e-06,3.040521561995646e-06,44.293741263185865,9.541756345671037e-13,success
2,5,1.3090583836276394e-06,1.481731474411153e-06,2.976537932377161e-06,43.56553760846957,8.376806047435601e-13,success
2,6,1.546442212936189e-06,1.4392876207974484e-06,3.0746009908268204e-06,39.48926557701058,2.1068703385237225e-12,success
