iteration,sample,x1,x2,x3,y1,y2,y3,power_output,status
1,1,3.051409285822731e-07,8.06661646642934e-07,-6.358301502800735e-07,-7.232808257649176e-07,5.98942784024054e-07,4.165012122475344e-08,9.271409682276026e-14,success
1,2,-1.1306690193606604e-07,9.679999999999999e-07,-4.705132192080221e-07,-2.658259530515344e-07,3.692455462503764e-07,9.679999999999999e-07,1.0590887233837675e-13,success
1,3,6.850460006607416e-07,8.588377467220802e-07,-2.9161739072530274e-07,-6.34644593502453e-07,2.3758866842028794e-07,3.410981432833681e-07,1.0601200718959706e-13,success
1,4,-1.3321956218293712e-07,9.679999999999999e-07,-9.679999999999999e-07,-4.561535342562677e-07,2.952881354529207e-07,2.459897209920357e-08,6.879992206312423e-14,success
1,5,1.8773776078978707e-08,6.634071172437306e-07,-6.72082971802169e-07,-9.679999999999999e-07,7.18711785011615e-07,9.105365254838913e-07,3.78112792282438e-13,success
1,6,-3.2823051371859e-07,8.603580776583044e-07,-6.930028835817299e-07,-5.822218816624971e-07,6.10139566298035e-07,9.679999999999999e-07,2.227027415593055e-13,success
1,7,-3.3516878779425116e-08,9.679999999999999e-07,-5.827377889107721e-07,-7.33018499344077e-07,-1.4565322376134855e-07,5.386684127127423e-07,5.967248633378701e-14,success
1,8,4.2169760752857617e-07,9.679999999999999e-07,-4.7329902595369477e-07,-5.120457201109964e-07,9.218991521485142e-07,1.3931727084218967e-07,0.0,failed: 'Failed to evaluate code'
1,9,7.549509461750935e-07,9.679999999999999e-07,-9.679999999999999e-07,-1.8541733082252186e-07,3.721625206949159e-07,4.974672657560991e-07,9.504953191806457e-14,success
1,10,1.8106819299374284e-07,6.2041005690431e-07,-2.4184481542482916e-07,-7.771447333590396e-07,9.679999999999999e-07,2.724077133713527e-07,1.8213286311414471e-13,success
2,1,2.1353945392144e-07,9.679999999999999e-07,-5.769129363394358e-07,-2.769991425630964e-07,9.679999999999999e-07,3.3412553412469224e-07,6.463850568416379e-14,success
